content_partner,primary_collection,items_total,usage,count,usage_total
Institute of Environmental Science and Research Ltd (ESR),Public Health Surveillance reports,262,All rights reserved,262,262
Internet Archive,Internet Archive,3,Modify,3,3
Internet Archive,Internet Archive,3,Share,3,3
Internet Archive,Internet Archive,3,Use commercially,1,3
Isel House,Isel House NZMuseums,33,All rights reserved,33,33
John Kinder Theological Library,John Kinder Theological Library,9126,Modify,6740,8016
John Kinder Theological Library,John Kinder Theological Library,9126,Share,6740,8016
John Kinder Theological Library,John Kinder Theological Library,9126,Use commercially,6653,8016
John Kinder Theological Library,John Kinder Theological Library,9126,All rights reserved,1276,8016
Kawerau District Library,Kete Kawerau,589,Modify,561,589
Kawerau District Library,Kete Kawerau,589,Share,561,589
Kawerau District Library,Kete Kawerau,589,All rights reserved,28,589
Kent Palmer Art,Kent Palmer Art,89,Share,89,89
Kete Central Hawke's Bay,Kete Central Hawke's Bay,429,Modify,418,429
Kete Central Hawke's Bay,Kete Central Hawke's Bay,429,Share,418,429
Kete Central Hawke's Bay,Kete Central Hawke's Bay,429,Use commercially,167,429
Kete Central Hawke's Bay,Kete Central Hawke's Bay,429,All rights reserved,11,429
Kete Christchurch,Kete Christchurch,45055,Share,44862,45055
Kete Christchurch,Kete Christchurch,45055,Modify,42367,45055
Kete Christchurch,Kete Christchurch,45055,Use commercially,231,45055
Kete Christchurch,Kete Christchurch,45055,All rights reserved,193,45055
Kete Hauraki Coromandel,Kete Hauraki Coromandel,925,Modify,922,925
Kete Hauraki Coromandel,Kete Hauraki Coromandel,925,Share,922,925
Kete Hauraki Coromandel,Kete Hauraki Coromandel,925,Use commercially,11,925
Kete Hauraki Coromandel,Kete Hauraki Coromandel,925,All rights reserved,3,925
Kete Horowhenua,Kete Horowhenua,29386,Modify,27969,29386
Kete Horowhenua,Kete Horowhenua,29386,Share,27969,29386
Kete Horowhenua,Kete Horowhenua,29386,Unknown,1415,29386
Kete Horowhenua,Kete Horowhenua,29386,Use commercially,538,29386
Kete Horowhenua,Kete Horowhenua,29386,All rights reserved,2,29386
Kete King Country,Kete King Country,264,Modify,259,264
Kete King Country,Kete King Country,264,Share,259,264
Kete King Country,Kete King Country,264,Use commercially,14,264
Kete King Country,Kete King Country,264,All rights reserved,5,264
Kete Masterton,Kete Masterton,374,Modify,374,374
Kete Masterton,Kete Masterton,374,Share,374,374
Kete New Plymouth,Kete New Plymouth,33245,Share,28079,33245
Kete New Plymouth,Kete New Plymouth,33245,Unknown,5006,33245
Kete New Plymouth,Kete New Plymouth,33245,Modify,3381,33245
Kete New Plymouth,Kete New Plymouth,33245,All rights reserved,160,33245
Kete New Plymouth,Kete New Plymouth,33245,Use commercially,15,33245
Kete Rotorua,Kete Rotorua,4258,Modify,3247,4258
Kete Rotorua,Kete Rotorua,4258,Share,3247,4258
Kete Rotorua,Kete Rotorua,4258,All rights reserved,1011,4258
Kete Rotorua,Kete Rotorua,4258,Use commercially,35,4258
Kete Selwyn,Kete Selwyn,2815,Modify,2650,2815
Kete Selwyn,Kete Selwyn,2815,Share,2650,2815
Kete Selwyn,Kete Selwyn,2815,All rights reserved,165,2815
Kete Selwyn,Kete Selwyn,2815,Use commercially,1,2815
Kete Tararua,Kete Tararua,417,Modify,414,417
Kete Tararua,Kete Tararua,417,Share,414,417
Kete Tararua,Kete Tararua,417,All rights reserved,3,417
Kete Tasman,Kete Tasman,2053,Modify,1815,2053
Kete Tasman,Kete Tasman,2053,Share,1815,2053
Kete Tasman,Kete Tasman,2053,All rights reserved,238,2053
Kete Tasman,Kete Tasman,2053,Use commercially,3,2053
Kete Taupo,Kete Taupo,551,Modify,546,551
Kete Taupo,Kete Taupo,551,Share,546,551
Kete Taupo,Kete Taupo,551,All rights reserved,5,551
Kowai Archives,Kowai Archives NZMuseums,23,All rights reserved,23,23
LERNZdb,LERNZ Freshwater Database,1193,Modify,1193,1193
